id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34574117,"Bed 2, Six corners of Tri-Taylor",120811797,Ashley,,Near West Side,41.86874,-87.68669,Shared room,20,1,10,2019-09-16,2.63,5,8
34574265,"Bed 3, The six corners of Tri-Taylor",120811797,Ashley,,Near West Side,41.86853,-87.68616,Shared room,20,1,8,2019-09-08,1.80,5,3
34574380,SuperHost Perfect Location DOWNTOWN | QUEEN BED |,3965428,Rob,,Near North Side,41.89276,-87.61703,Entire home/apt,130,31,0,,,75,365
34574634,"★ Sun Drenched, Lofty Stunner: Walk to El & Park ★",34773184,Lynette + Efrain,,Irving Park,41.95302,-87.72274,Entire home/apt,160,1,0,,,1,79
34575811,LR2 cozy  private room close to city convention,260377596,William,,Bridgeport,41.84253,-87.64417,Private room,45,2,15,2019-08-27,3.72,8,100
34577564,Lovely Logan Square Gem - 3bd w/ Parking and Yard!,164710043,Noah+Team,,Logan Square,41.91459,-87.69928,Entire home/apt,149,1,17,2019-08-25,5.00,57,73
34578410,SR1 Private room cta McCormick Foam mattress bed,243678653,Thomas,,Brighton Park,41.81577,-87.7,Private room,48,2,17,2019-09-21,3.83,8,262
34583692,Cozy room in the middle of Historic Little Italy,50320894,Haitham,,Near West Side,41.87045,-87.66164,Private room,55,1,7,2019-08-11,2.10,1,0
34590811,2nd Story Loft in Ukranian Village. Great Location,36140345,Melissa,,West Town,41.90272,-87.67025,Entire home/apt,129,3,1,2019-08-27,1,2,346
34595313,Beautiful Studio located in the heart of Chicago,190649394,Ale,,Lake View,41.94252,-87.6414,Entire home/apt,150,1,8,2019-09-19,2.26,3,16
34596043,✈️ Modern Business Ready Studio w/ King Bed,163739390,Ralph,,Loop,41.88669,-87.62328,Entire home/apt,400,2,3,2019-09-02,1.03,9,78
34596399,Quick Walk to Chicago Theatre District + King Bed,104480966,Carter,,Loop,41.88541,-87.62363,Entire home/apt,400,2,2,2019-08-11,1.00,9,78
34597480,"Huge, Bright One Bedroom on the Park",23006345,Madeline,,Hyde Park,41.78851,-87.5884,Entire home/apt,137,28,1,2019-07-26,0.51,1,274
34598471,King Bed Studio Next to the Goodman Theater,162586833,Edwin,,Loop,41.88608,-87.63266,Entire home/apt,400,2,0,,,5,87
34599216,Equipped Home Near Magnificent Mile & Best Stores,176237492,Tessie,,Loop,41.8843,-87.63112,Entire home/apt,400,2,1,2019-06-14,0.30,9,87
34599722,Modern & comfy 4 BR townhouse in Lincoln Park ⚾️,6829842,Claire & Florian,,Lincoln Park,41.91779,-87.64221,Entire home/apt,300,5,3,2019-08-19,1.05,1,30
34601264,Spacious Vintage 2 Bedroom!,52725236,Wendi,,Logan Square,41.92332,-87.70217,Entire home/apt,130,2,12,2019-09-12,4.62,3,56
34602818,Be the first to review this brand new listing!,22817194,Naimah,,West Town,41.8977,-87.69155,Entire home/apt,110,2,9,2019-09-16,2.25,1,322
34603121,★★ Stunning place with Balcony & Amazing view ★★,236506100,Laura,,Loop,41.88589,-87.61798,Entire home/apt,102,3,19,2019-09-02,4.56,4,32
34604727,Bridgeport express,261022684,Devonta,,Bridgeport,41.83374,-87.64502,Private room,35,2,12,2019-09-16,3.19,1,81
34618484,"❀ River North, Balcony, Bright place ❀",236506100,Laura,,Near North Side,41.89159,-87.62788,Entire home/apt,102,4,14,2019-09-13,3.33,4,169
34619387,Luxury 2BDR w/ King Bed Centrally Located in Loop,176237492,Tessie,,Loop,41.88466,-87.62338,Entire home/apt,400,2,3,2019-07-03,1.03,9,77
34621640,"Humboldt Park 1st floor, 3 bed 1 bath, Fullkitchen",92129084,Russell,,West Town,41.90087,-87.68354,Entire home/apt,197,1,6,2019-09-02,2.05,10,177
34622778,A Slice of Heaven in the Windy City,6452801,Idris,,Greater Grand Crossing,41.76793,-87.63138,Shared room,81,2,2,2019-09-13,1.20,1,365
34623699,Your Private & Equipped Home in River North,176237492,Tessie,,Near North Side,41.89567,-87.63256,Entire home/apt,400,2,7,2019-07-26,2.12,9,76
34624048,Heart of Downtown Studio Ideal for Family Trip,163739390,Ralph,,Near North Side,41.89458,-87.63143,Entire home/apt,400,2,6,2019-09-15,2.25,9,82
34624170,Spacious Condo in the Heart of Andersonville,29414838,Matt,,Edgewater,41.97865,-87.6655,Entire home/apt,139,2,6,2019-08-12,1.59,2,0
34624414,Warm Welcoming Chicago Chatman Home,30862744,Steve,,Chatham,41.74583,-87.62784,Entire home/apt,115,2,0,,,1,346
34624464,Beautiful Lakeview/Wrigleyville Condominium!,107078942,Donald,,Lake View,41.94469,-87.65116,Entire home/apt,125,2,8,2019-09-02,2.26,1,167
34624805,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.89127,-87.62822,Hotel room,600,1,1,2019-08-01,0.57,28,312
34625131,Nonna's house,225251998,Zenir,,Portage Park,41.94586,-87.75423,Private room,40,1,22,2019-09-08,5.37,1,162
34625919,Spacious 3-BR Penthouse near United Center,9094538,Nicole,,Near West Side,41.87351,-87.68553,Entire home/apt,200,1,7,2019-08-25,1.86,40,85
34628820,Parkside Little India Retreat,156571992,Bogdan,,West Ridge,42.00248,-87.68049,Private room,35,1,4,2019-06-02,0.94,1,58
34638143,Bright Sunny Large Home EASY TRANSIT EVERYWHERE!,39622956,Talya,,East Garfield Park,41.87902,-87.71557,Entire home/apt,175,3,5,2019-09-02,1.44,1,345
34647251,Quadruple Room: Perfect for Friends,57387860,Freehand,,Near North Side,41.89169,-87.61514,Hotel room,600,1,3,2019-09-08,1.53,28,304
34648059,Parkville Condo short walk to U of Chicago.,260257596,June,,Washington Park,41.78972,-87.61723,Private room,90,2,1,2019-08-05,0.61,3,173
34648201,Female Only  - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.89132,-87.61649,Hotel room,150,2,44,2019-09-21,10.39,28,301
34648963,Beautiful Spot for a getaway weekend,118915130,Hussain,,Near South Side,41.85676,-87.6262,Entire home/apt,180,1,15,2019-09-07,3.57,2,9
34649120,"8 min from downtown Chicago, mccormick & white sox",260588213,Zaine Lizandra,,Bridgeport,41.82687,-87.64635,Entire home/apt,105,1,56,2019-09-20,13.23,1,170
34649740,Stay in our brand new 1886 Chicago Coach House,261404932,Emily,,Bridgeport,41.83451,-87.65351,Entire home/apt,102,2,15,2019-09-16,6.34,1,335
34651671,2BR Little Village Nomad Pad!,44184344,Millie & Richard,,South Lawndale,41.84937,-87.70074,Entire home/apt,65,2,12,2019-09-16,5.14,2,326
34655702,Modern and Contemporary Lifestyle in the Loop,6774894,James,,Loop,41.8864,-87.62388,Entire home/apt,179,2,22,2019-09-12,5.08,4,65
34674151,Charming Wicker Park Coach House,15939835,Mitch,,West Town,41.90578,-87.68423,Entire home/apt,425,2,0,,,4,63
34674573,Snug room in Wicker Park,15939835,Mitch,,West Town,41.90564,-87.68315,Private room,55,2,2,2019-08-24,2,4,17
34674954,A Sunny 2BR Suite - Private Entrance & Bathroom!,231324113,Coral,,West Town,41.91013,-87.67271,Private room,200,1,0,,,5,334
34675095,Quaint Room In Wicker Park,15939835,Mitch,,West Town,41.90455,-87.68457,Private room,55,2,4,2019-09-02,2.14,4,14
34677756,Logan Square Room 606,28462890,Curtis,,Logan Square,41.91474,-87.70715,Private room,75,2,3,2019-06-30,0.71,2,0
34678419,"1BD, 1 BA Vintage-Inspired Minimalist Escape",6066672,Emma,,Edgewater,41.98532,-87.6575,Entire home/apt,130,2,14,2019-09-15,3.36,1,59
34682325,Spacious 2 BR Wicker Park Apt w patio/free parking,260689831,Marco,,West Town,41.90989,-87.68621,Entire home/apt,120,2,8,2019-09-16,6.15,1,56
34684299,CONVENIENCE RIVER NORTH MODERN APARTMENT Free WiFi,3965428,Rob,,Near North Side,41.89124,-87.63742,Entire home/apt,150,31,0,,,75,365
34685327,SuperHost SUITABLE CONVENIENCE RIVER NORTH WiFi,49626033,Roma,,Near North Side,41.88928,-87.63488,Entire home/apt,150,31,0,,,14,365
34685576,Amazing 16ft Ceiling Loft in Trendy West Loop Area,21002808,Ben,,Near West Side,41.87869,-87.65695,Entire home/apt,105,2,5,2019-08-21,1.21,1,1
34685910,Modern Building On Michigan Ave 1 Bed 1 Bath,4982817,Andrew,,Loop,41.87959,-87.6251,Entire home/apt,150,30,1,2019-08-28,1,15,140
34686383,Huge 1 Bed 1 Bath in the Loop Next to Train,63436227,Antonina,,Loop,41.88378,-87.63389,Entire home/apt,151,30,0,,,10,90
34688589,SR3 Private room cta McCormick Foam mattress bed,243678653,Thomas,,Brighton Park,41.81396,-87.70075,Private room,48,2,8,2019-06-25,2.02,8,257
34690099,Pilsen Private Room -  ‘ DAHAUS ‘,251163467,Javier,,Lower West Side,41.85718,-87.67032,Private room,70,2,12,2019-09-16,2.81,1,345
34711681,LOGAN SQUARE BRAND NEW LUXURY MODERN CONDO,3965428,Rob,,Logan Square,41.92474,-87.69737,Entire home/apt,140,30,2,2019-06-06,0.50,75,365
34712969,Huge modern home in the heart of the north side,7340896,Kevin,,Uptown,41.95527,-87.65617,Entire home/apt,120,3,4,2019-08-05,1.22,1,0
34714446,"A gorgeous, quiet apartment in the heart Chicago.",3013501,Ruslana,,West Town,41.89586,-87.67496,Entire home/apt,100,2,8,2019-08-11,2.11,1,9
